"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1438_at","EPHB3","2049","EPH receptor B3",-7.80309952288948,8.71664164758135,-15.7192821609081,5.22007374182001e-16,5.92946837852888e-16,26.4204125005037
"2","200006_at","PARK7","11315","Parkinsonism associated deglycase",-11.0954482726827,11.5731013494634,-38.5608703289035,4.40482368419335e-27,1.88714807476592e-25,48.5218824252528
"3","200008_s_at","GDI2","2665","GDP dissociation inhibitor 2",-9.67481129112901,10.1442204087638,-17.7475789576342,1.94101347086073e-17,2.43983898384237e-17,29.5487411575431
"4","200022_at","RPL18","6141","ribosomal protein L18",-12.3227689067207,12.8320176522572,-46.3113896441041,1.99801723921627e-29,5.85294557286366e-27,52.2560107700179
"5","200024_at","RPS5","6193","ribosomal protein S5",-11.9455804551625,12.6098213470344,-41.321424559629,5.76645170641332e-28,5.1090762118822e-26,49.9806699553263
"6","200036_s_at","RPL10A","4736","ribosomal protein L10a",-12.0512612337072,12.5969900858681,-36.8339542128609,1.68965974520413e-26,4.71073634148119e-25,47.5248766287148
"7","200039_s_at","PSMB2","5690","proteasome 20S subunit beta 2",-9.93113556974076,10.7883482282093,-34.1370802551101,1.56397223178836e-25,2.17978260324089e-24,45.8209397017642
"8","200043_at","ERH","2079","ERH mRNA splicing and mitosis factor",-10.5775393193263,10.9932243911347,-39.2948725845551,2.53127195355875e-27,1.40169184428316e-25,48.925301412289
"9","200050_at","ZNF146","7705","zinc finger protein 146",-8.4617609043637,9.12968651928916,-24.1740116721674,3.36400359459609e-21,7.67042290209007e-21,37.4799624820904
"10","200052_s_at","ILF2","3608","interleukin enhancer binding factor 2",-8.69790844538171,9.3344623348395,-26.9894765095683,1.42983745891267e-22,5.07895298979175e-22,40.2302272850772
"11","200071_at","SMNDC1","10285","survival motor neuron domain containing 1",-7.75059911515783,8.29791670525496,-21.2070335412365,1.37513919187386e-19,2.28526614898222e-19,34.1435299379674
"12","200074_s_at","RPL14","9045","ribosomal protein L14",-11.3990087915414,12.0685931273298,-34.4857666438634,1.16213643976251e-25,1.77526359591308e-24,46.0520700696131
"13","200079_s_at","KARS1","3735","lysyl-tRNA synthetase 1",-10.1166375141536,10.8390245206743,-35.0135167527672,7.45413086868598e-26,1.23611015100509e-24,46.3955822695794
"14","200081_s_at","RPS6","6194","ribosomal protein S6",-12.3451121857102,12.9586713401921,-44.4165151451633,6.85938782755487e-29,1.38442845790871e-26,51.4418258741515
"15","200082_s_at","RPS7","6201","ribosomal protein S7",-11.9601432395882,12.6177194220103,-38.3008212708073,5.37310200080493e-27,2.09723498396598e-25,48.3761160764651
