"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1438_at","EPHB3","2049","EPH receptor B3",1.0658326091744,8.71664164758135,3.27710352661262,0.0026566854408414,0.00603544436047558,-1.97963521537617
"2","200006_at","PARK7","11315","Parkinsonism associated deglycase",0.379860319489936,11.5731013494634,2.01493712163564,0.0529674879062477,0.0747620300397242,-4.69527249251651
"3","200008_s_at","GDI2","2665","GDP dissociation inhibitor 2",0.672811304365924,10.1442204087638,1.883759642584,0.0693418625300216,0.0947264826896903,-4.92520217506479
"4","200022_at","RPL18","6141","ribosomal protein L18",0.61137842152737,12.8320176522572,3.50691475701035,0.00145257738852876,0.0037568327621582,-1.41158417971685
"5","200024_at","RPS5","6193","ribosomal protein S5",0.710847201599968,12.6098213470344,3.75301137131158,0.000750858210716613,0.00234482508704151,-0.786432940518282
"6","200036_s_at","RPL10A","4736","ribosomal protein L10a",0.479475715248677,12.5969900858681,2.23675312788097,0.0329019282306954,0.0489112557254969,-4.28036732804587
"7","200039_s_at","PSMB2","5690","proteasome 20S subunit beta 2",0.799150076931459,10.7883482282093,4.19267696802969,0.00022498064890735,0.000984012683020722,0.364104850005885
"8","200043_at","ERH","2079","ERH mRNA splicing and mitosis factor",0.454574271146853,10.9932243911347,2.57745850382518,0.0151218149986787,0.0251430574789199,-3.58525941102386
"9","200050_at","ZNF146","7705","zinc finger protein 146",0.639523871892054,9.12968651928916,2.78856217702459,0.00911234583747898,0.0163054728459448,-3.12352757346521
"10","200052_s_at","ILF2","3608","interleukin enhancer binding factor 2",0.905517430463153,9.3344623348395,4.28856540666696,0.000172392023743804,0.00083529322754615,0.619474775256497
"11","200071_at","SMNDC1","10285","survival motor neuron domain containing 1",0.569575115889647,8.29791670525496,2.37865387137392,0.0239549495595309,0.0370126051739438,-3.99890247876858
"12","200074_s_at","RPL14","9045","ribosomal protein L14",0.736941870722355,12.0685931273298,3.4028407379794,0.00191245515815812,0.00464047217953703,-1.67088961653608
"13","200079_s_at","KARS1","3735","lysyl-tRNA synthetase 1",0.840057781546868,10.8390245206743,4.43756060887684,0.000113781176729985,0.000643860271970225,1.01870276813288
